"Test matches, career batting records",,,,,,,,,,
,,,,,,,,,,
Player,Span,Mat,Inns,NO,Runs,HS,Ave,Hundred,Fifty,Duck
NJ Astle (New Zealand),1996-2006,81,137,10,4702,222,37.02,11,24,11
TD Astle (New Zealand),2012-2018,3,4,0,56,35,14,0,0,1
FT Badcock (New Zealand),1930-1933,7,9,2,137,64,19.57,0,2,3
RT Barber (New Zealand),1956-1956,1,2,0,17,12,8.5,0,0,0
GA Bartlett (New Zealand),1961-1968,10,18,1,263,40,15.47,0,0,4
PT Barton (New Zealand),1961-1963,7,14,0,285,109,20.35,1,1,1
DD Beard (New Zealand),1952-1956,4,7,2,101,31,20.2,0,0,0
JEF Beck (New Zealand),1953-1956,8,15,0,394,99,26.26,0,3,1
MD Bell (New Zealand),1998-2008,18,32,2,729,107,24.3,2,3,7
W Bell (New Zealand),1954-1954,2,3,3,21,21*,-,0,0,0
HK Bennett (New Zealand),2010-2010,1,1,0,4,4,4,0,0,0
GP Bilby (New Zealand),1966-1966,2,4,0,55,28,13.75,0,0,0
TE Blain (New Zealand),1986-1994,11,20,3,456,78,26.82,0,2,2
RW Blair (New Zealand),1953-1964,19,34,6,189,64*,6.75,0,1,12
TA Blundell (New Zealand),2017-2017,2,3,1,136,107*,68,1,0,0
RC Blunt (New Zealand),1930-1932,9,13,1,330,96,27.5,0,1,1
BA Bolton (New Zealand),1959-1959,2,3,0,59,33,19.66,0,0,1
SE Bond (New Zealand),2001-2009,18,20,7,168,41*,12.92,0,0,1
SL Boock (New Zealand),1978-1989,30,41,8,207,37,6.27,0,0,10
TA Boult (New Zealand),2011-2018,54,69,35,545,52*,16.02,0,1,10
BP Bracewell (New Zealand),1978-1985,6,12,2,24,8,2.4,0,0,5
DAJ Bracewell (New Zealand),2011-2016,27,45,4,568,47,13.85,0,0,11
JG Bracewell (New Zealand),1980-1990,41,60,11,1001,110,20.42,1,4,13
GE Bradburn (New Zealand),1990-2001,7,10,2,105,30*,13.12,0,0,1
WP Bradburn (New Zealand),1964-1964,2,4,0,62,32,15.5,0,0,0
NT Broom (New Zealand),2017-2017,2,3,0,32,20,10.66,0,0,1
VR Brown (New Zealand),1985-1985,2,3,1,51,36*,25.5,0,0,1
DG Brownlie (New Zealand),2011-2013,14,25,1,711,109,29.62,1,4,3
MG Burgess (New Zealand),1968-1980,50,92,6,2684,119*,31.2,5,14,5
C Burke (New Zealand),1946-1946,1,2,0,4,3,2,0,0,0
TB Burtt (New Zealand),1947-1953,10,15,3,252,42,21,0,0,1
IG Butler (New Zealand),2002-2004,8,10,2,76,26,9.5,0,0,2
LA Butterfield (New Zealand),1946-1946,1,2,0,0,0,0,0,0,2
BL Cairns (New Zealand),1974-1985,43,65,8,928,64,16.28,0,2,7
CL Cairns (New Zealand),1989-2004,62,104,5,3320,158,33.53,5,22,7
FJ Cameron (New Zealand),1961-1965,19,30,20,116,27*,11.6,0,0,4
HB Cave (New Zealand),1949-1958,19,31,5,229,22*,8.8,0,0,5
ME Chapple (New Zealand),1953-1966,14,27,1,497,76,19.11,0,3,2
EJ Chatfield (New Zealand),1975-1989,43,54,33,180,21*,8.57,0,0,11
DC Cleverley (New Zealand),1932-1946,2,4,3,19,10*,19,0,0,0
RO Collinge (New Zealand),1965-1978,35,50,13,533,68*,14.4,0,2,9
IA Colquhoun (New Zealand),1955-1955,2,4,2,1,1*,0.5,0,0,2
JV Coney (New Zealand),1974-1987,52,85,14,2668,174*,37.57,3,16,3
BE Congdon (New Zealand),1965-1978,61,114,7,3448,176,32.22,7,19,9
J Cowie (New Zealand),1937-1949,9,13,4,90,45,10,0,0,3
MD Craig (New Zealand),2014-2016,15,25,9,589,67,36.81,0,3,1
GF Cresswell (New Zealand),1949-1951,3,5,3,14,12*,7,0,0,1
IB Cromb (New Zealand),1931-1932,5,8,2,123,51*,20.5,0,1,1
JJ Crowe (New Zealand),1983-1990,39,65,4,1601,128,26.24,3,6,6
MD Crowe (New Zealand),1982-1995,77,131,11,5444,299,45.36,17,18,9
CD Cumming (New Zealand),2005-2008,11,19,2,441,74,25.94,0,1,1
RS Cunis (New Zealand),1964-1972,20,31,8,295,51,12.82,0,1,6
JW D'Arcy (New Zealand),1958-1958,5,10,0,136,33,13.6,0,0,0
HT Davis (New Zealand),1994-1997,5,7,4,20,8*,6.66,0,0,0
C de Grandhomme (New Zealand),2016-2018,10,15,1,537,105,38.35,1,3,2
RP de Groen (New Zealand),1993-1994,5,10,4,45,26,7.5,0,0,1
CS Dempster (New Zealand),1930-1933,10,15,4,723,136,65.72,2,5,0
EW Dempster (New Zealand),1953-1954,5,8,2,106,47,17.66,0,0,2
AE Dick (New Zealand),1961-1965,17,30,4,370,50*,14.23,0,1,4
GR Dickinson (New Zealand),1930-1932,3,5,0,31,11,6.2,0,0,0
MP Donnelly (New Zealand),1937-1949,7,12,1,582,206,52.9,1,4,2
SB Doull (New Zealand),1992-2000,32,50,11,570,46,14.61,0,0,10
GT Dowling (New Zealand),1961-1972,39,77,3,2306,239,31.16,3,11,6
CJ Drum (New Zealand),2001-2002,5,5,2,10,4,3.33,0,0,1
JA Dunning (New Zealand),1933-1937,4,6,1,38,19,7.6,0,0,2
BA Edgar (New Zealand),1978-1986,39,68,4,1958,161,30.59,3,12,7
GN Edwards (New Zealand),1977-1981,8,15,0,377,55,25.13,0,3,2
GD Elliott (New Zealand),2008-2009,5,9,1,86,25,10.75,0,0,1
RWG Emery (New Zealand),1952-1952,2,4,0,46,28,11.5,0,0,0
FE Fisher (New Zealand),1953-1953,1,2,0,23,14,11.5,0,0,0
SP Fleming (New Zealand),1994-2008,111,189,10,7172,274*,40.06,9,46,16
DR Flynn (New Zealand),2008-2013,24,45,5,1038,95,25.95,0,6,8
H Foley (New Zealand),1930-1930,1,2,0,4,2,2,0,0,0
JEC Franklin (New Zealand),2001-2013,31,46,7,808,122*,20.71,1,2,6
TJ Franklin (New Zealand),1983-1991,21,37,1,828,101,23,1,4,2
DL Freeman (New Zealand),1933-1933,2,2,0,2,1,1,0,0,0
PG Fulton (New Zealand),2006-2014,23,39,1,967,136,25.44,2,5,3
N Gallichan (New Zealand),1937-1937,1,2,0,32,30,16,0,0,0
SG Gedye (New Zealand),1964-1965,4,8,0,193,55,24.12,0,2,0
LK Germon (New Zealand),1995-1997,12,21,3,382,55,21.22,0,1,3
MR Gillespie (New Zealand),2007-2012,5,8,1,76,27,10.85,0,0,3
SR Gillespie (New Zealand),1986-1986,1,1,0,28,28,28,0,0,0
EJ Gray (New Zealand),1983-1988,10,16,0,248,50,15.5,0,1,0
MJ Greatbatch (New Zealand),1988-1996,41,71,5,2021,146*,30.62,3,10,9
SC Guillen (New Zealand),1956-1956,3,6,0,98,41,16.33,0,0,2
MJ Guptill (New Zealand),2009-2016,47,89,1,2586,189,29.38,3,17,10
JW Guy (New Zealand),1955-1961,12,23,2,440,102,20.95,1,3,3
DR Hadlee (New Zealand),1969-1978,26,42,5,530,56,14.32,0,1,9
Sir RJ Hadlee (New Zealand),1973-1990,86,134,19,3124,151*,27.16,2,15,12
WA Hadlee (New Zealand),1937-1951,11,19,1,543,116,30.16,1,2,1
NS Harford (New Zealand),1955-1958,8,15,0,229,93,15.26,0,2,4
RI Harford (New Zealand),1968-1968,3,5,2,7,6,2.33,0,0,1
CZ Harris (New Zealand),1992-2002,23,42,4,777,71,20.44,0,5,9
PGZ Harris (New Zealand),1955-1965,9,18,1,378,101,22.23,1,1,3
RM Harris (New Zealand),1959-1959,2,3,0,31,13,10.33,0,0,0
MN Hart (New Zealand),1994-1995,14,24,4,353,45,17.65,0,0,3
RG Hart (New Zealand),2002-2003,11,19,3,260,57*,16.25,0,1,4
BR Hartland (New Zealand),1992-1994,9,18,0,303,52,16.83,0,1,3
MJ Haslam (New Zealand),1992-1995,4,2,1,4,3,4,0,0,0
BF Hastings (New Zealand),1969-1976,31,56,6,1510,117*,30.2,4,7,6
JA Hayes (New Zealand),1951-1958,15,22,7,73,19,4.86,0,0,4
M Henderson (New Zealand),1930-1930,1,2,1,8,6,8,0,0,0
MJ Henry (New Zealand),2015-2017,9,14,3,216,66,19.63,0,1,2
GJ Hopkins (New Zealand),2008-2010,4,7,1,71,15,11.83,0,0,0
MJ Horne (New Zealand),1997-2003,35,65,2,1788,157,28.38,4,5,4
PA Horne (New Zealand),1987-1990,4,7,0,71,27,10.14,0,0,2
KW Hough (New Zealand),1959-1959,2,3,2,62,31*,62,0,0,0
JM How (New Zealand),2006-2009,19,35,1,772,92,22.7,0,4,4
GP Howarth (New Zealand),1975-1985,47,83,5,2531,147,32.44,6,11,7
HJ Howarth (New Zealand),1969-1977,30,42,18,291,61,12.12,0,1,7
PJ Ingram (New Zealand),2010-2010,2,4,0,61,42,15.25,0,0,0
KC James (New Zealand),1930-1933,11,13,2,52,14,4.72,0,0,4
TW Jarvis (New Zealand),1965-1973,13,22,1,625,182,29.76,1,2,6
AH Jones (New Zealand),1987-1995,39,74,8,2922,186,44.27,7,11,2
RA Jones (New Zealand),2003-2003,1,2,0,23,16,11.5,0,0,0
RJ Kennedy (New Zealand),1996-1996,4,5,1,28,22,7,0,0,2
JL Kerr (New Zealand),1931-1937,7,12,1,212,59,19.27,0,1,2
CM Kuggeleijn (New Zealand),1988-1988,2,4,0,7,7,1.75,0,0,3
GR Larsen (New Zealand),1994-1996,8,13,4,127,26*,14.11,0,0,2
RT Latham (New Zealand),1992-1993,4,7,0,219,119,31.28,1,0,1
TWM Latham (New Zealand),2014-2018,36,65,2,2404,177,38.15,6,14,6
WK Lees (New Zealand),1976-1983,21,37,4,778,152,23.57,1,1,4
IB Leggat (New Zealand),1954-1954,1,1,0,0,0,0,0,0,1
JG Leggat (New Zealand),1952-1956,9,18,2,351,61,21.93,0,2,1
AF Lissette (New Zealand),1956-1956,2,4,2,2,1*,1,0,0,2
GR Loveridge (New Zealand),1996-1996,1,1,1,4,4*,-,0,0,0
TC Lowry (New Zealand),1930-1931,7,8,0,223,80,27.87,0,2,2
BB McCullum (New Zealand),2004-2016,101,176,9,6453,302,38.64,12,31,14
PE McEwan (New Zealand),1980-1984,4,7,1,96,40*,16,0,0,1
AR MacGibbon (New Zealand),1951-1958,26,46,5,814,66,19.85,0,3,7
HM McGirr (New Zealand),1930-1930,2,1,0,51,51,51,0,1,0
SN McGregor (New Zealand),1955-1965,25,47,2,892,111,19.82,1,3,5
TG McIntosh (New Zealand),2008-2011,17,33,2,854,136,27.54,2,4,5
AJ McKay (New Zealand),2010-2010,1,2,1,25,20*,25,0,0,0
EG McLeod (New Zealand),1930-1930,1,2,1,18,16,18,0,0,0
TG McMahon (New Zealand),1955-1956,5,7,4,7,4*,2.33,0,0,2
CD McMillan (New Zealand),1997-2005,55,91,10,3116,142,38.46,6,19,7
DAN McRae (New Zealand),1946-1946,1,2,0,8,8,4,0,0,1
HJH Marshall (New Zealand),2000-2006,13,19,2,652,160,38.35,2,2,1
JAH Marshall (New Zealand),2005-2008,7,11,0,218,52,19.81,0,1,2
BP Martin (New Zealand),2013-2013,5,6,1,74,41,14.8,0,0,1
CS Martin (New Zealand),2000-2013,71,104,52,123,12*,2.36,0,0,36
MJ Mason (New Zealand),2004-2004,1,2,0,3,3,1.5,0,0,1
AM Matheson (New Zealand),1930-1931,2,1,0,7,7,7,0,0,0
T Meale (New Zealand),1958-1958,2,4,0,21,10,5.25,0,0,0
WE Merritt (New Zealand),1930-1931,6,8,1,73,19,10.42,0,0,1
EM Meuli (New Zealand),1953-1953,1,2,0,38,23,19,0,0,0
BD Milburn (New Zealand),1969-1969,3,3,2,8,4*,8,0,0,1
LSM Miller (New Zealand),1953-1958,13,25,0,346,47,13.84,0,0,5
JE Mills (New Zealand),1930-1933,7,10,1,241,117,26.77,1,0,2
KD Mills (New Zealand),2004-2009,19,30,5,289,57,11.56,0,1,5
AM Moir (New Zealand),1951-1959,17,30,8,327,41*,14.86,0,0,5
DAR Moloney (New Zealand),1937-1937,3,6,0,156,64,26,0,1,1
FLH Mooney (New Zealand),1949-1954,14,22,2,343,46,17.15,0,0,1
RW Morgan (New Zealand),1965-1972,20,34,1,734,97,22.24,0,5,5
BD Morrison (New Zealand),1963-1963,1,2,0,10,10,5,0,0,1
DK Morrison (New Zealand),1987-1997,48,71,26,379,42,8.42,0,0,24
JFM Morrison (New Zealand),1973-1982,17,29,0,656,117,22.62,1,3,4
RC Motz (New Zealand),1961-1969,32,56,3,612,60,11.54,0,3,12
C Munro (New Zealand),2013-2013,1,2,0,15,15,7.5,0,0,1
BAG Murray (New Zealand),1968-1971,13,26,1,598,90,23.92,0,5,1
DJ Murray (New Zealand),1994-1995,8,16,1,303,52,20.2,0,1,3
DJ Nash (New Zealand),1992-2001,32,45,14,729,89*,23.51,0,4,5
JDS Neesham (New Zealand),2014-2017,12,22,1,709,137*,33.76,2,4,2
J Newman (New Zealand),1932-1933,3,4,0,33,19,8.25,0,0,0
HM Nicholls (New Zealand),2016-2018,18,27,3,850,145*,35.41,2,5,2
RJ Nicol (New Zealand),2012-2012,2,4,0,28,19,7,0,0,0
IE O'Brien (New Zealand),2005-2009,22,34,5,219,31,7.55,0,0,8
SB O'Connor (New Zealand),1997-2001,19,27,9,103,20,5.72,0,0,4
JDP Oram (New Zealand),2002-2009,33,59,10,1780,133,36.32,5,6,4
DR O'Sullivan (New Zealand),1973-1976,11,21,4,158,23*,9.29,0,0,2
GWF Overton (New Zealand),1953-1954,3,6,1,8,3*,1.6,0,0,2
MB Owens (New Zealand),1992-1994,8,12,6,16,8*,2.66,0,0,5
ML Page (New Zealand),1930-1937,14,20,0,492,104,24.6,1,2,1
MHW Papps (New Zealand),2004-2007,8,16,1,246,86,16.4,0,2,4
JM Parker (New Zealand),1973-1980,36,63,2,1498,121,24.55,3,5,4
NM Parker (New Zealand),1976-1976,3,6,0,89,40,14.83,0,0,0
AC Parore (New Zealand),1990-2002,78,128,19,2865,110,26.28,2,14,6
DN Patel (New Zealand),1987-1997,37,66,8,1200,99,20.68,0,5,10
JS Patel (New Zealand),2006-2017,24,38,8,381,47,12.7,0,0,7
PJ Petherick (New Zealand),1976-1977,6,11,4,34,13,4.85,0,0,1
EC Petrie (New Zealand),1955-1966,14,25,5,258,55,12.9,0,1,2
WR Playle (New Zealand),1958-1963,8,15,0,151,65,10.06,0,1,3
BA Pocock (New Zealand),1993-1997,15,29,0,665,85,22.93,0,6,4
V Pollard (New Zealand),1965-1973,32,59,7,1266,116,24.34,2,7,4
MB Poore (New Zealand),1953-1956,14,24,1,355,45,15.43,0,0,6
MW Priest (New Zealand),1990-1998,3,4,0,56,26,14,0,0,0
C Pringle (New Zealand),1990-1995,14,21,4,175,30,10.29,0,0,7
N Puna (New Zealand),1966-1966,3,5,3,31,18*,15.5,0,0,0
GO Rabone (New Zealand),1949-1955,12,20,2,562,107,31.22,1,2,0
JA Raval (New Zealand),2016-2018,11,18,1,648,88,38.11,0,6,0
AJ Redmond (New Zealand),2008-2013,8,16,1,325,83,21.66,0,2,1
RE Redmond (New Zealand),1973-1973,1,2,0,163,107,81.5,1,1,0
JF Reid (New Zealand),1979-1986,19,31,3,1296,180,46.28,6,2,4
JR Reid (New Zealand),1949-1965,58,108,5,3428,142,33.28,6,22,5
MH Richardson (New Zealand),2000-2004,38,65,3,2776,145,44.77,4,19,1
ADG Roberts (New Zealand),1976-1976,7,12,1,254,84*,23.09,0,1,2
AW Roberts (New Zealand),1930-1937,5,10,1,248,66*,27.55,0,3,0
GK Robertson (New Zealand),1986-1986,1,1,0,12,12,12,0,0,0
L Ronchi (New Zealand),2015-2016,4,8,0,319,88,39.87,0,2,1
CG Rowe (New Zealand),1946-1946,1,2,0,0,0,0,0,0,2
HD Rutherford (New Zealand),2013-2015,16,29,1,755,171,26.96,1,1,2
KR Rutherford (New Zealand),1985-1995,56,99,8,2465,107*,27.08,3,18,16
JD Ryder (New Zealand),2008-2011,18,33,2,1269,201,40.93,3,6,4
MJ Santner (New Zealand),2015-2017,17,21,0,535,73,25.47,0,2,1
RH Scott (New Zealand),1947-1947,1,1,0,18,18,18,0,0,0
VJ Scott (New Zealand),1946-1952,10,17,1,458,84,28.62,0,3,1
DG Sewell (New Zealand),1997-1997,1,1,1,1,1*,-,0,0,0
MJF Shrimpton (New Zealand),1963-1974,10,19,0,265,46,13.94,0,0,6
BW Sinclair (New Zealand),1963-1968,21,40,1,1148,138,29.43,3,3,5
IM Sinclair (New Zealand),1956-1956,2,4,1,25,18*,8.33,0,0,2
MS Sinclair (New Zealand),1999-2010,33,56,5,1635,214,32.05,3,4,4
FB Smith (New Zealand),1947-1952,4,6,1,237,96,47.4,0,2,0
HD Smith (New Zealand),1933-1933,1,1,0,4,4,4,0,0,0
IDS Smith (New Zealand),1980-1992,63,88,17,1815,173,25.56,2,6,7
CA Snedden (New Zealand),1947-1947,1,-,-,-,-,-,-,-,-
MC Snedden (New Zealand),1981-1990,25,30,8,327,33*,14.86,0,0,6
IS Sodhi (New Zealand),2013-2018,15,21,4,422,63,24.82,0,3,3
TG Southee (New Zealand),2008-2018,60,91,8,1459,77*,17.57,0,4,9
JT Sparling (New Zealand),1958-1964,11,20,2,229,50,12.72,0,1,2
CM Spearman (New Zealand),1995-2000,19,37,2,922,112,26.34,1,3,3
GR Stead (New Zealand),1999-1999,5,8,0,278,78,34.75,0,2,0
DA Stirling (New Zealand),1984-1986,6,9,2,108,26,15.42,0,0,0
SB Styris (New Zealand),2002-2007,29,48,4,1586,170,36.04,5,6,5
ML Su'a (New Zealand),1992-1995,13,18,5,165,44,12.69,0,0,5
B Sutcliffe (New Zealand),1947-1965,42,76,8,2727,230*,40.1,5,15,5
BR Taylor (New Zealand),1965-1973,30,50,6,898,124,20.4,2,2,8
DD Taylor (New Zealand),1947-1956,3,5,0,159,77,31.8,0,1,0
LRPL Taylor (New Zealand),2007-2018,85,152,19,6281,290,47.22,17,28,12
K Thomson (New Zealand),1968-1968,2,4,1,94,69,31.33,0,1,1
SA Thomson (New Zealand),1990-1995,19,35,4,958,120*,30.9,1,5,3
EWT Tindill (New Zealand),1937-1947,5,9,1,73,37*,9.12,0,0,1
GB Troup (New Zealand),1976-1986,15,18,6,55,13*,4.58,0,0,7
PB Truscott (New Zealand),1965-1965,1,2,0,29,26,14.5,0,0,0
DR Tuffey (New Zealand),2000-2010,26,36,10,427,80*,16.42,0,1,6
GM Turner (New Zealand),1969-1983,41,73,6,2991,259,44.64,7,14,1
RG Twose (New Zealand),1995-1999,16,27,2,628,94,25.12,0,6,5
RH Vance (New Zealand),1988-1989,4,7,0,207,68,29.57,0,1,0
CFK van Wyk (New Zealand),2012-2012,9,17,1,341,71,21.31,0,1,3
JTC Vaughan (New Zealand),1992-1997,6,12,1,201,44,18.27,0,0,0
DL Vettori (New Zealand),1997-2014,112,172,22,4523,140,30.15,6,23,19
L Vincent (New Zealand),2001-2007,23,40,1,1332,224,34.15,3,9,4
GE Vivian (New Zealand),1965-1972,5,6,0,110,43,18.33,0,0,1
HG Vivian (New Zealand),1931-1937,7,10,0,421,100,42.1,1,5,0
KJ Wadsworth (New Zealand),1969-1976,33,51,4,1010,80,21.48,0,5,5
N Wagner (New Zealand),2012-2018,36,47,13,442,37,13,0,0,5
BGK Walker (New Zealand),2000-2002,5,8,2,118,27*,19.66,0,0,1
WM Wallace (New Zealand),1937-1953,13,21,0,439,66,20.9,0,5,0
KP Walmsley (New Zealand),1995-2000,3,5,0,13,5,2.6,0,0,2
JT Ward (New Zealand),1964-1968,8,12,6,75,35*,12.5,0,0,2
BJ Watling (New Zealand),2009-2018,54,87,13,2837,142*,38.33,6,14,7
W Watson (New Zealand),1986-1993,15,18,6,60,11,5,0,0,3
L Watt (New Zealand),1955-1955,1,2,0,2,2,1,0,0,1
MG Webb (New Zealand),1971-1974,3,2,0,12,12,6,0,0,1
PN Webb (New Zealand),1980-1980,2,3,0,11,5,3.66,0,0,0
GL Weir (New Zealand),1930-1937,11,16,2,416,74*,29.71,0,3,1
DJ White (New Zealand),1990-1990,2,4,0,31,18,7.75,0,0,0
PE Whitelaw (New Zealand),1933-1933,2,4,2,64,30,32,0,0,0
KS Williamson (New Zealand),2010-2018,65,116,10,5338,242*,50.35,18,26,7
PJ Wiseman (New Zealand),1998-2005,25,34,8,366,36,14.07,0,0,5
JG Wright (New Zealand),1978-1993,82,148,7,5334,185,37.82,12,23,7
BA Young (New Zealand),1993-1999,35,68,4,2034,267*,31.78,2,12,5
RA Young (New Zealand),2011-2011,5,10,3,169,57,24.14,0,1,1
BW Yuile (New Zealand),1963-1969,17,33,6,481,64,17.81,0,1,3
Aamer Malik (Pakistan),1987-1994,14,19,3,565,117,35.31,2,3,3
Aamer Nazir (Pakistan),1993-1995,6,11,6,31,11,6.2,0,0,2
Aamer Sohail (Pakistan),1992-2000,47,83,3,2823,205,35.28,5,13,6
Aaqib Javed (Pakistan),1989-1998,22,27,7,101,28*,5.05,0,0,8
Abdul Kadir (Pakistan),1964-1965,4,8,0,272,95,34,0,2,2
Abdul Qadir (Pakistan),1977-1990,67,77,11,1029,61,15.59,0,3,7
Abdul Razzaq (Pakistan),1999-2006,46,77,9,1946,134,28.61,3,7,4
Abdur Rauf (Pakistan),2009-2009,3,6,0,52,31,8.66,0,0,2
Abdur Rehman (Pakistan),2007-2014,22,31,3,395,60,14.1,0,2,4
Adnan Akmal (Pakistan),2010-2014,21,29,5,591,64,24.62,0,3,2
Afaq Hussain (Pakistan),1961-1964,2,4,4,66,35*,-,0,0,0
Aftab Baloch (Pakistan),1969-1975,2,3,1,97,60*,48.5,0,1,0
Aftab Gul (Pakistan),1969-1971,6,8,0,182,33,22.75,0,0,0
Agha Saadat Ali (Pakistan),1955-1955,1,1,1,8,8*,-,0,0,0
Agha Zahid (Pakistan),1975-1975,1,2,0,15,14,7.5,0,0,0
Ahmed Shehzad (Pakistan),2013-2017,13,25,1,982,176,40.91,3,4,1
Aizaz Cheema (Pakistan),2011-2012,7,5,5,1,1*,-,0,0,0
Akram Raza (Pakistan),1989-1995,9,12,2,153,32,15.3,0,0,3
Alimuddin (Pakistan),1954-1962,25,45,2,1091,109,25.37,2,7,6
Ali Hussain Rizvi (Pakistan),1997-1997,1,-,-,-,-,-,-,-,-
Ali Naqvi (Pakistan),1997-1998,5,9,1,242,115,30.25,1,0,0
Amir Elahi (Pakistan),1952-1952,5,7,1,65,47,10.83,0,0,1
Anil Dalpat (Pakistan),1984-1985,9,12,1,167,52,15.18,0,1,0
Anwar Hussain (Pakistan),1952-1952,4,6,0,42,17,7,0,0,0
Anwar Khan (Pakistan),1979-1979,1,2,1,15,12,15,0,0,0
Arif Butt (Pakistan),1964-1965,3,5,0,59,20,11.8,0,0,1
Arshad Khan (Pakistan),1997-2005,9,8,2,31,9*,5.16,0,0,1
Asad Shafiq (Pakistan),2010-2018,61,102,6,3768,137,39.25,11,20,9
Ashfaq Ahmed (Pakistan),1993-1993,1,2,1,1,1*,1,0,0,1
Ashraf Ali (Pakistan),1982-1987,8,8,3,229,65,45.8,0,2,0
Asif Iqbal (Pakistan),1964-1980,58,99,7,3575,175,38.85,11,12,9
Asif Masood (Pakistan),1969-1977,16,19,10,93,30*,10.33,0,0,5
Asif Mujtaba (Pakistan),1986-1997,25,41,3,928,65*,24.42,0,8,5
Asim Kamal (Pakistan),2003-2005,12,20,1,717,99,37.73,0,8,2
Ata-ur-Rehman (Pakistan),1992-1996,13,15,6,76,19,8.44,0,0,3
Atif Rauf (Pakistan),1994-1994,1,2,0,25,16,12.5,0,0,0
Atiq-uz-Zaman (Pakistan),2000-2000,1,2,0,26,25,13,0,0,0
Azam Khan (Pakistan),1996-1996,1,1,0,14,14,14,0,0,0
Azeem Hafeez (Pakistan),1983-1985,18,21,5,134,24,8.37,0,0,2
Azhar Ali (Pakistan),2010-2018,65,124,8,5202,302*,44.84,14,28,11
Azhar Khan (Pakistan),1980-1980,1,1,0,14,14,14,0,0,0
Azhar Mahmood (Pakistan),1997-2001,21,34,4,900,136,30,3,1,5
Azmat Rana (Pakistan),1980-1980,1,1,0,49,49,49,0,0,0
Babar Azam (Pakistan),2016-2018,13,25,3,616,90*,28,0,6,5
Basit Ali (Pakistan),1993-1995,19,33,1,858,103,26.81,1,5,5
Bazid Khan (Pakistan),2005-2005,1,2,0,32,23,16,0,0,0
Bilawal Bhatti (Pakistan),2013-2014,2,3,1,70,32,35,0,0,0
Danish Kaneria (Pakistan),2000-2010,61,84,33,360,29,7.05,0,0,25
A D'Souza (Pakistan),1959-1962,6,10,8,76,23*,38,0,0,0
Ehsan Adil (Pakistan),2013-2015,3,4,0,21,12,5.25,0,0,2
Ehteshamuddin (Pakistan),1979-1982,5,3,1,2,2,1,0,0,1
Faheem Ashraf (Pakistan),2018-2018,3,4,0,123,83,30.75,0,1,1
Faisal Iqbal (Pakistan),2001-2010,26,44,2,1124,139,26.76,1,8,4
Farhan Adil (Pakistan),2003-2003,1,2,0,33,25,16.5,0,0,0
Farooq Hamid (Pakistan),1964-1964,1,2,0,3,3,1.5,0,0,1
Farrukh Zaman (Pakistan),1976-1976,1,-,-,-,-,-,-,-,-
Fawad Alam (Pakistan),2009-2009,3,6,0,250,168,41.66,1,0,0
Fazal Mahmood (Pakistan),1952-1962,34,50,6,620,60,14.09,0,1,10
Fazl-e-Akbar (Pakistan),1998-2004,5,8,4,52,25,13,0,0,2
MEZ Ghazali (Pakistan),1954-1954,2,4,0,32,18,8,0,0,2
Ghulam Abbas (Pakistan),1967-1967,1,2,0,12,12,6,0,0,1
Gul Mohammad (Pakistan),1956-1956,1,2,1,39,27*,39,0,0,0
Hanif Mohammad (Pakistan),1952-1969,55,97,8,3915,337,43.98,12,15,5
Haris Sohail (Pakistan),2017-2018,5,10,1,328,76,36.44,0,2,0
Haroon Rasheed (Pakistan),1977-1983,23,36,1,1217,153,34.77,3,5,2
Hasan Ali (Pakistan),2017-2018,4,7,2,93,29,18.6,0,0,1
Hasan Raza (Pakistan),1996-2005,7,10,1,235,68,26.11,0,2,1
Haseeb Ahsan (Pakistan),1958-1962,12,16,7,61,14,6.77,0,0,3
Humayun Farhat (Pakistan),2001-2001,1,2,0,54,28,27,0,0,0
Iftikhar Ahmed (Pakistan),2016-2016,1,1,0,4,4,4,0,0,0
Iftikhar Anjum (Pakistan),2006-2006,1,1,1,9,9*,-,0,0,0
Ijaz Ahmed (Pakistan),1987-2001,60,92,4,3315,211,37.67,12,12,7
Ijaz Ahmed (Pakistan),1995-1995,2,3,0,29,16,9.66,0,0,0
Ijaz Butt (Pakistan),1959-1962,8,16,2,279,58,19.92,0,1,1
Ijaz Faqih (Pakistan),1980-1988,5,8,1,183,105,26.14,1,0,2
Imam-ul-Haq (Pakistan),2018-2018,3,6,2,137,74*,34.25,0,1,1
Imran Farhat (Pakistan),2001-2013,40,77,2,2400,128,32,3,14,3
Imran Khan (Pakistan),1971-1992,88,126,25,3807,136,37.69,6,18,8
Imran Khan (Pakistan),2014-2017,9,8,2,6,6,1,0,0,5
Imran Nazir (Pakistan),1999-2002,8,13,0,427,131,32.84,2,1,3
Imtiaz Ahmed (Pakistan),1952-1962,41,72,1,2079,209,29.28,3,11,9
Intikhab Alam (Pakistan),1959-1977,47,77,10,1493,138,22.28,1,8,10
Inzamam-ul-Haq (Pakistan),1992-2007,119,198,22,8829,329,50.16,25,46,14
Iqbal Qasim (Pakistan),1976-1988,50,57,15,549,56,13.07,0,1,10
Irfan Fazil (Pakistan),2000-2000,1,2,1,4,3,4,0,0,0
Israr Ali (Pakistan),1952-1959,4,8,1,33,10,4.71,0,0,1
Jalal-ud-Din (Pakistan),1982-1985,6,3,2,3,2,3,0,0,0
Javed Akhtar (Pakistan),1962-1962,1,2,1,4,2*,4,0,0,0
