"Test matches, career batting records",,,,,,,,,,
,,,,,,,,,,
Player,Span,Mat,Inns,NO,Runs,HS,Ave,Hundred,Fifty,Duck
FJ Laver (Australia),1899-1909,15,23,6,196,45,11.52,0,0,4
SG Law (Australia),1995-1995,1,1,1,54,54*,-,0,1,0
WM Lawry (Australia),1961-1971,67,123,12,5234,210,47.15,13,27,6
GF Lawson (Australia),1980-1989,46,68,12,894,74,15.96,0,4,6
B Lee (Australia),1999-2008,76,90,18,1451,64,20.15,0,5,14
PK Lee (Australia),1931-1933,2,3,0,57,42,19,0,0,1
DS Lehmann (Australia),1998-2004,27,42,2,1798,177,44.95,5,10,2
DK Lillee (Australia),1971-1984,70,90,24,905,73*,13.71,0,1,10
RR Lindwall (Australia),1946-1960,61,84,13,1502,118,21.15,2,5,9
HSB Love (Australia),1933-1933,1,2,0,8,5,4,0,0,0
ML Love (Australia),2002-2003,5,8,3,233,100*,46.6,1,1,2
SJE Loxton (Australia),1948-1951,12,15,0,554,101,36.93,1,3,1
NM Lyon (Australia),2011-2018,78,99,29,820,47,11.71,0,0,13
JJ Lyons (Australia),1887-1897,14,27,0,731,134,27.07,1,3,1
PA McAlister (Australia),1904-1909,8,16,1,252,41,16.8,0,0,0
CG Macartney (Australia),1907-1926,35,55,4,2131,170,41.78,7,9,1
SJ McCabe (Australia),1930-1938,39,62,5,2748,232,48.21,6,13,4
CL McCool (Australia),1946-1950,14,17,4,459,104*,35.3,1,1,0
EL McCormick (Australia),1935-1938,12,14,5,54,17*,6,0,0,3
RB McCosker (Australia),1975-1980,25,46,5,1622,127,39.56,4,9,5
CJ McDermott (Australia),1984-1996,71,90,13,940,42*,12.2,0,0,13
AB McDonald (Australia),2009-2009,4,6,1,107,68,21.4,0,1,1
CC McDonald (Australia),1952-1961,47,83,4,3107,170,39.32,5,17,2
EA McDonald (Australia),1921-1921,11,12,5,116,36,16.57,0,0,1
PS McDonnell (Australia),1880-1888,19,34,1,955,147,28.93,3,2,6
BE McGain (Australia),2009-2009,1,2,0,2,2,1,0,0,1
SCG MacGill (Australia),1998-2008,44,47,11,349,43,9.69,0,0,12
GD McGrath (Australia),1993-2007,124,138,51,641,61,7.36,0,1,35
J McIlwraith (Australia),1886-1886,1,2,0,9,7,4.5,0,0,0
PE McIntyre (Australia),1995-1996,2,4,1,22,16,7.33,0,0,2
CJ McKay (Australia),2009-2009,1,1,0,10,10,10,0,0,0
KD Mackay (Australia),1956-1963,37,52,7,1507,89,33.48,0,13,6
GD McKenzie (Australia),1961-1971,60,89,12,945,76,12.27,0,2,15
TR McKibbin (Australia),1895-1898,5,8,2,88,28*,14.66,0,0,2
JW McLaren (Australia),1912-1912,1,2,2,0,0*,-,0,0,0
JA Maclean (Australia),1978-1979,4,8,1,79,33*,11.28,0,0,2
CE McLeod (Australia),1894-1905,17,29,5,573,112,23.87,1,4,5
RW McLeod (Australia),1892-1893,6,11,0,146,31,13.27,0,0,0
PG McShane (Australia),1885-1888,3,6,1,26,12*,5.2,0,0,3
NJ Maddinson (Australia),2016-2016,3,4,0,27,22,6.75,0,0,1
LV Maddocks (Australia),1954-1956,7,12,2,177,69,17.7,0,1,3
JN Maguire (Australia),1983-1984,3,5,1,28,15*,7,0,0,2
AA Mailey (Australia),1920-1926,21,29,9,222,46*,11.1,0,0,3
AA Mallett (Australia),1968-1980,38,50,13,430,43*,11.62,0,0,10
MF Malone (Australia),1977-1977,1,1,0,46,46,46,0,0,0
AL Mann (Australia),1977-1978,4,8,0,189,105,23.62,1,0,2
GA Manou (Australia),2009-2009,1,2,1,21,13*,21,0,0,0
AP Marr (Australia),1885-1885,1,2,0,5,5,2.5,0,0,1
GR Marsh (Australia),1985-1992,50,93,7,2854,138,33.18,4,15,3
MR Marsh (Australia),2014-2018,28,47,5,1170,181,27.85,2,3,5
RW Marsh (Australia),1970-1984,96,150,13,3633,132,26.51,3,16,12
SE Marsh (Australia),2011-2018,32,57,2,2068,182,37.6,6,9,9
JW Martin (Australia),1960-1967,8,13,1,214,55,17.83,0,1,3
DR Martyn (Australia),1992-2006,67,109,14,4406,165,46.37,13,23,7
HH Massie (Australia),1881-1885,9,16,0,249,55,15.56,0,1,2
RAL Massie (Australia),1972-1973,6,8,1,78,42,11.14,0,0,3
CD Matthews (Australia),1986-1988,3,5,0,54,32,10.8,0,0,1
GRJ Matthews (Australia),1983-1993,33,53,8,1849,130,41.08,4,12,2
TJ Matthews (Australia),1912-1912,8,10,1,153,53,17,0,1,1
GJ Maxwell (Australia),2013-2017,7,14,1,339,104,26.07,1,0,0
TBA May (Australia),1987-1995,24,28,12,225,42*,14.06,0,0,3
ER Mayne (Australia),1912-1921,4,4,1,64,25*,21.33,0,0,0
LC Mayne (Australia),1965-1970,6,11,3,76,13,9.5,0,0,1
I Meckiff (Australia),1957-1963,18,20,7,154,45*,11.84,0,0,2
JM Mennie (Australia),2016-2016,1,2,0,10,10,5,0,0,1
KD Meuleman (Australia),1946-1946,1,1,0,0,0,0,0,0,1
WE Midwinter (Australia),1877-1887,8,14,1,174,37,13.38,0,0,1
CR Miller (Australia),1998-2001,18,24,3,174,43,8.28,0,0,7
KR Miller (Australia),1946-1956,55,87,7,2958,147,36.97,7,13,5
RB Minnett (Australia),1911-1912,9,15,0,391,90,26.06,0,3,3
FM Misson (Australia),1960-1961,5,5,3,38,25*,19,0,0,1
TM Moody (Australia),1989-1992,8,14,0,456,106,32.57,2,3,1
J Moroney (Australia),1949-1952,7,12,1,383,118,34.81,2,1,3
AR Morris (Australia),1946-1955,46,79,3,3533,206,46.48,12,12,4
S Morris (Australia),1885-1885,1,2,1,14,10*,14,0,0,0
H Moses (Australia),1887-1895,6,10,0,198,33,19.8,0,0,0
JK Moss (Australia),1979-1979,1,2,1,60,38*,60,0,0,0
WH Moule (Australia),1880-1880,1,2,0,40,34,20,0,0,0
SA Muller (Australia),1999-1999,2,2,2,6,6*,-,0,0,0
WL Murdoch (Australia),1877-1890,18,33,5,896,211,32,2,1,3
HA Musgrove (Australia),1885-1885,1,2,0,13,9,6.5,0,0,0
LE Nagel (Australia),1932-1932,1,2,1,21,21*,21,0,0,1
LJ Nash (Australia),1932-1937,2,2,0,30,17,15,0,0,0
PM Nevill (Australia),2015-2016,17,23,2,468,66,22.28,0,3,1
MJ Nicholson (Australia),1998-1998,1,2,0,14,9,7,0,0,0
HC Nitschke (Australia),1931-1931,2,2,0,53,47,26.5,0,0,0
MA Noble (Australia),1898-1909,42,73,7,1997,133,30.25,1,16,4
G Noblet (Australia),1950-1953,3,4,1,22,13*,7.33,0,0,1
MJ North (Australia),2009-2010,21,35,2,1171,128,35.48,5,4,5
OE Nothling (Australia),1928-1928,1,2,0,52,44,26,0,0,0
LPJ O'Brien (Australia),1932-1936,5,8,0,211,61,26.37,0,2,1
JDA O'Connor (Australia),1908-1909,4,8,1,86,20,12.28,0,0,0
SP O'Donnell (Australia),1985-1985,6,10,3,206,48,29.42,0,0,1
AD Ogilvie (Australia),1977-1978,5,10,0,178,47,17.8,0,0,3
SNJ O'Keefe (Australia),2014-2017,9,13,4,86,25,9.55,0,0,2
KJ O'Keeffe (Australia),1971-1977,24,34,9,644,85,25.76,0,1,3
WAS Oldfield (Australia),1920-1937,54,80,17,1427,65*,22.65,0,4,9
NCL O'Neill (Australia),1958-1965,42,69,8,2779,181,45.55,6,15,6
WJ O'Reilly (Australia),1932-1946,27,39,7,410,56*,12.81,0,1,6
RK Oxenham (Australia),1928-1931,7,10,0,151,48,15.1,0,0,2
TD Paine (Australia),2010-2018,13,22,5,694,92,40.82,0,4,0
GE Palmer (Australia),1880-1886,17,25,4,296,48,14.09,0,0,3
RL Park (Australia),1920-1921,1,1,0,0,0,0,0,0,1
LS Pascoe (Australia),1977-1982,14,19,9,106,30*,10.6,0,0,3
JL Pattinson (Australia),2011-2016,17,19,7,332,42,27.66,0,0,1
CE Pellew (Australia),1920-1921,10,14,1,484,116,37.23,2,1,0
WB Phillips (Australia),1983-1986,27,48,2,1485,159,32.28,2,7,1
WN Phillips (Australia),1992-1992,1,2,0,22,14,11,0,0,0
PI Philpott (Australia),1965-1966,8,10,1,93,22,10.33,0,0,0
WH Ponsford (Australia),1924-1934,29,48,4,2122,266,48.22,7,6,1
RT Ponting (Australia),1995-2012,168,287,29,13378,257,51.85,41,62,17
RJ Pope (Australia),1885-1885,1,2,0,3,3,1.5,0,0,1
RJ Quiney (Australia),2012-2012,2,3,0,9,9,3,0,0,2
CG Rackemann (Australia),1982-1991,12,14,4,53,15*,5.3,0,0,5
VS Ransford (Australia),1907-1912,20,38,6,1211,143*,37.84,1,7,2
