Mat,Inns,NO,Runs,HS,Ave,100,50,0
1,2,0,8,7,4,0,0,0
1,2,0,7,7,3.5,0,0,1
1,2,0,4,4,2,0,0,1
1,2,1,3,3*,3,0,0,1
1,1,0,2,2,2,0,0,0
1,2,1,2,2,2,0,0,0
1,1,0,0,0,0,0,0,1
4,8,0,144,50,18,0,1,2
4,8,0,137,39,17.12,0,0,1
4,8,0,136,75,17,0,1,2
4,8,0,131,42,16.37,0,0,0
4,8,0,129,46,16.12,0,0,2
4,8,0,111,63,13.87,0,1,4
4,8,0,108,48,13.5,0,0,1
4,8,1,86,25,12.28,0,0,0
4,8,1,82,28,11.71,0,0,0
3,6,0,81,33,13.5,0,0,0
4,8,1,80,32,11.42,0,0,2
4,8,0,71,21,8.87,0,0,1
4,7,3,67,29*,16.75,0,0,1
4,8,0,61,19,7.62,0,0,1
4,8,0,51,15,6.37,0,0,2
4,8,0,49,10,6.12,0,0,0
4,8,1,41,27,5.85,0,0,1
1,2,1,40,24*,40,0,0,0
4,7,2,39,17,7.8,0,0,0
2,4,0,33,25,8.25,0,0,1
1,2,1,26,20*,26,0,0,0
4,8,0,25,9,3.12,0,0,3
1,2,1,22,16*,22,0,0,0
2,4,1,21,11,7,0,0,1
2,4,0,17,13,4.25,0,0,1
2,3,1,15,7*,7.5,0,0,0
1,2,2,8,6*,-,0,0,0
1,2,1,6,4,6,0,0,0
3,6,0,157,78,26.16,0,2,0
4,8,0,147,27,18.37,0,0,0
4,8,0,144,61,18,0,1,2
3,5,0,141,66,28.2,0,2,0
4,8,0,137,79,17.12,0,1,1
3,5,0,134,53,26.8,0,1,1
4,8,0,131,82,16.37,0,1,0
4,8,0,99,31,12.37,0,0,1
3,6,0,95,52,15.83,0,1,2
3,6,0,83,32,13.83,0,0,1
3,5,2,74,25,24.66,0,0,0
3,6,0,74,31,12.33,0,0,0
3,6,0,67,28,11.16,0,0,0
4,8,1,65,22,9.28,0,0,3
2,4,0,61,25,15.25,0,0,0
4,7,2,60,15*,12,0,0,1
2,4,0,53,22,13.25,0,0,0
3,6,1,51,11,10.2,0,0,0
3,6,3,51,22,17,0,0,0
2,4,0,39,25,9.75,0,0,1
1,2,0,25,24,12.5,0,0,0
3,6,0,23,8,3.83,0,0,0
1,2,1,22,18*,22,0,0,0
3,6,0,22,17,3.66,0,0,3
1,2,0,14,12,7,0,0,0
1,2,1,12,12*,12,0,0,1
1,2,0,12,9,6,0,0,0
